,featurizer,model,best_params,recall_0,recall_1,roc_auc
0,spe,bnb,{'alpha': 0.1},0.8638059701492538,0.49295774647887325,0.820685305865041
1,spe,rf,"{'max_depth': None, 'n_estimators': 100}",0.9757462686567164,0.09859154929577464,0.8211845701072102
2,spe,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.9832089552238806,0.19718309859154928,0.8189510195501367
3,spe,knn,{'n_neighbors': 1},0.9029850746268657,0.29577464788732394,0.5993798612570949
4,spe,svm,"{'C': 1, 'kernel': 'linear', 'probability': True}",0.9347014925373134,0.38028169014084506,0.7861835190245954
5,kmer,bnb,{'alpha': 0.1},0.753731343283582,0.8028169014084507,0.8579856001681733
6,kmer,rf,"{'max_depth': 100, 'n_estimators': 500}",0.9757462686567164,0.19718309859154928,0.8749211688038679
7,kmer,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.9440298507462687,0.4084507042253521,0.8793619928526382
8,kmer,knn,{'n_neighbors': 1},0.9328358208955224,0.4084507042253521,0.6706432625604373
9,kmer,svm,"{'C': 1, 'kernel': 'linear', 'probability': True}",0.914179104477612,0.5774647887323944,0.8481973933151146
10,atom,bnb,{'alpha': 1e-10},0.8470149253731343,0.4647887323943662,0.8115934412444817
11,atom,rf,"{'max_depth': 50, 'n_estimators': 200}",0.9645522388059702,0.39436619718309857,0.8924742484759302
12,atom,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.9664179104477612,0.352112676056338,0.8572892579356738
13,atom,knn,{'n_neighbors': 1},0.8992537313432836,0.5492957746478874,0.7242747529955855
14,atom,svm,"{'C': 1, 'kernel': 'sigmoid', 'probability': True}",0.871268656716418,0.18309859154929578,0.7288732394366197
