,featurizer,model,best_params,recall_0,recall_1,roc_auc
0,ecfp,bnb,{'alpha': 1e-10},0.6529850746268657,0.8873239436619719,0.8438354004624763
1,ecfp,rf,"{'max_depth': 100, 'n_estimators': 100}",0.9794776119402985,0.2535211267605634,0.8907399621610258
2,ecfp,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.9458955223880597,0.4225352112676056,0.8586819424006726
3,ecfp,knn,{'n_neighbors': 1},0.9123134328358209,0.5492957746478874,0.7308046037418542
4,ecfp,svm,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.9776119402985075,0.23943661971830985,0.8509827622451125
5,oned,bnb,{'alpha': 1e-10},1.0,0.0,0.5548533739751944
6,oned,rf,"{'max_depth': 50, 'n_estimators': 100}",0.9458955223880597,0.23943661971830985,0.717179945343704
7,oned,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.7686567164179104,0.49295774647887325,0.6904430313222619
8,oned,knn,{'n_neighbors': 1},0.8395522388059702,0.39436619718309857,0.6169592179945343
9,oned,svm,"{'C': 0.0001, 'kernel': 'linear', 'probability': True}",1.0,0.0,0.791399516501997
