,featurizer,model,best_params,recall_0,recall_1,roc_auc
0,ecfp,bnb,{'alpha': 1e-10},0.5764925373134329,0.971830985915493,0.8436777380702124
1,ecfp,rf,"{'max_depth': 100, 'n_estimators': 100}",0.9589552238805971,0.4507042253521127,0.8896626024805548
2,ecfp,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.7220149253731343,0.8450704225352113,0.8571315955434098
3,ecfp,knn,{'n_neighbors': 1},0.9123134328358209,0.5492957746478874,0.7308046037418542
4,ecfp,svm,"{'C': 0.1, 'kernel': 'linear', 'probability': True}",0.7164179104477612,0.8169014084507042,0.8465944923270969
5,oned,bnb,{'alpha': 1e-10},0.3619402985074627,0.7605633802816901,0.5548533739751944
6,oned,rf,"{'max_depth': 50, 'n_estimators': 100}",0.9365671641791045,0.29577464788732394,0.7393446499894891
7,oned,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.292910447761194,0.8309859154929577,0.591588711372714
8,oned,knn,{'n_neighbors': 1},0.8208955223880597,0.43661971830985913,0.6287576203489594
9,oned,svm,"{'C': 0.0001, 'kernel': 'linear', 'probability': True}",0.2966417910447761,0.9014084507042254,0.6419355686356948
