,featurizer,model,best_params,recall_0,recall_1,roc_auc
0,spe,bnb,{'alpha': 0.1},0.7854477611940298,0.6056338028169014,0.7664231658608367
1,spe,rf,"{'max_depth': None, 'n_estimators': 100}",0.9552238805970149,0.2535211267605634,0.8146678578936304
2,spe,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.8227611940298507,0.6619718309859155,0.8075993273071264
3,spe,knn,{'n_neighbors': 1},0.9029850746268657,0.29577464788732394,0.5993798612570949
4,spe,svm,"{'C': 1, 'kernel': 'linear', 'probability': True}",0.8432835820895522,0.5492957746478874,0.7775909186462057
5,kmer,bnb,{'alpha': 0.1},0.7350746268656716,0.8028169014084507,0.8328515871347488
6,kmer,rf,"{'max_depth': 100, 'n_estimators': 500}",0.9533582089552238,0.4507042253521127,0.8936435778852218
7,kmer,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.8451492537313433,0.704225352112676,0.8726087870506622
8,kmer,knn,{'n_neighbors': 1},0.9328358208955224,0.4084507042253521,0.6706432625604373
9,kmer,svm,"{'C': 1, 'kernel': 'linear', 'probability': True}",0.8731343283582089,0.6056338028169014,0.8301976035316376
10,atom,bnb,{'alpha': 1e-10},0.5578358208955224,0.9014084507042254,0.8118299348328779
11,atom,rf,"{'max_depth': 50, 'n_estimators': 200}",0.9421641791044776,0.49295774647887325,0.8875867143157452
12,atom,logreg,"{'C': 0.5, 'multi_class': 'auto', 'solver': 'liblinear'}",0.6529850746268657,0.9014084507042254,0.8465419381963422
13,atom,knn,{'n_neighbors': 1},0.8992537313432836,0.5492957746478874,0.7242747529955855
14,atom,svm,"{'C': 1, 'kernel': 'sigmoid', 'probability': True}",0.5932835820895522,0.7323943661971831,0.6948444397729662
